"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PRMNTO01","Production in total manufacturing sa, Index","LTU","Lithuania","A","Annual","2009","2009","IDX","Index","0","Units","2015_100","2015=100",72.35461,,
"PRMNTO01","Production in total manufacturing sa, Index","LTU","Lithuania","A","Annual","2010","2010","IDX","Index","0","Units","2015_100","2015=100",77.91202,,
"PRMNTO01","Production in total manufacturing sa, Index","LTU","Lithuania","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",85.8107,,
"PRMNTO01","Production in total manufacturing sa, Index","LTU","Lithuania","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",90.28495,,
"PRMNTO01","Production in total manufacturing sa, Index","LTU","Lithuania","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",94.17597,,
"PRMNTO01","Production in total manufacturing sa, Index","LTU","Lithuania","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",94.93418,,
"PRMNTO01","Production in total manufacturing sa, Index","LTU","Lithuania","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"PRMNTO01","Production in total manufacturing sa, Index","LTU","Lithuania","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",103.0745,,
"PRMNTO01","Production in total manufacturing sa, Index","LTU","Lithuania","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",110.6149,,
"PRMNTO01","Production in total manufacturing sa, Index","LTU","Lithuania","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",117.0888,,
"PRMNTO01","Production in total manufacturing sa, Index","LTU","Lithuania","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",121.0965,,
"PRMNTO01","Production in total manufacturing sa, Index","LTU","Lithuania","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",119.3468,,
"SLRTCR03","Passenger car registrations sa, Index","LTU","Lithuania","A","Annual","2003","2003","IDX","Index","0","Units","2015_100","2015=100",44.18346,,
"SLRTCR03","Passenger car registrations sa, Index","LTU","Lithuania","A","Annual","2004","2004","IDX","Index","0","Units","2015_100","2015=100",55.60567,,
"SLRTCR03","Passenger car registrations sa, Index","LTU","Lithuania","A","Annual","2005","2005","IDX","Index","0","Units","2015_100","2015=100",61.31092,,
"SLRTCR03","Passenger car registrations sa, Index","LTU","Lithuania","A","Annual","2006","2006","IDX","Index","0","Units","2015_100","2015=100",83.37629,,
"SLRTCR03","Passenger car registrations sa, Index","LTU","Lithuania","A","Annual","2007","2007","IDX","Index","0","Units","2015_100","2015=100",126.5581,,
"SLRTCR03","Passenger car registrations sa, Index","LTU","Lithuania","A","Annual","2008","2008","IDX","Index","0","Units","2015_100","2015=100",130.1371,,
"SLRTCR03","Passenger car registrations sa, Index","LTU","Lithuania","A","Annual","2009","2009","IDX","Index","0","Units","2015_100","2015=100",44.01945,,
"SLRTCR03","Passenger car registrations sa, Index","LTU","Lithuania","A","Annual","2010","2010","IDX","Index","0","Units","2015_100","2015=100",46.68463,,
"SLRTCR03","Passenger car registrations sa, Index","LTU","Lithuania","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",77.51875,,
"SLRTCR03","Passenger car registrations sa, Index","LTU","Lithuania","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",71.25703,,
"SLRTCR03","Passenger car registrations sa, Index","LTU","Lithuania","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",71.24532,,
"SLRTCR03","Passenger car registrations sa, Index","LTU","Lithuania","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",84.70595,,
"SLRTCR03","Passenger car registrations sa, Index","LTU","Lithuania","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"SLRTCR03","Passenger car registrations sa, Index","LTU","Lithuania","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",119.0253,,
"SLRTCR03","Passenger car registrations sa, Index","LTU","Lithuania","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",151.3355,,
"SLRTCR03","Passenger car registrations sa, Index","LTU","Lithuania","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",189.8723,,
"SLRTCR03","Passenger car registrations sa, Index","LTU","Lithuania","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",272.0771,,
"SLRTCR03","Passenger car registrations sa, Index","LTU","Lithuania","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",235.6607,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","HUN","Hungary","A","Annual","2000","2000","IDX","Index","0","Units","2015_100","2015=100",71.39167,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","HUN","Hungary","A","Annual","2001","2001","IDX","Index","0","Units","2015_100","2015=100",77.71667,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","HUN","Hungary","A","Annual","2002","2002","IDX","Index","0","Units","2015_100","2015=100",80.86667,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","HUN","Hungary","A","Annual","2003","2003","IDX","Index","0","Units","2015_100","2015=100",77.175,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","HUN","Hungary","A","Annual","2004","2004","IDX","Index","0","Units","2015_100","2015=100",84.2,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","HUN","Hungary","A","Annual","2005","2005","IDX","Index","0","Units","2015_100","2015=100",88.81667,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","HUN","Hungary","A","Annual","2006","2006","IDX","Index","0","Units","2015_100","2015=100",93.66666,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","HUN","Hungary","A","Annual","2007","2007","IDX","Index","0","Units","2015_100","2015=100",96.41666,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","HUN","Hungary","A","Annual","2008","2008","IDX","Index","0","Units","2015_100","2015=100",96.275,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","HUN","Hungary","A","Annual","2009","2009","IDX","Index","0","Units","2015_100","2015=100",75.13333,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","HUN","Hungary","A","Annual","2010","2010","IDX","Index","0","Units","2015_100","2015=100",84.84167,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","HUN","Hungary","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",87.2,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","HUN","Hungary","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",86.40833,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","HUN","Hungary","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",87.54166,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","HUN","Hungary","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",92.83334,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","HUN","Hungary","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","HUN","Hungary","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",106.3833,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","HUN","Hungary","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",113.375,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","HUN","Hungary","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",123.7667,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","HUN","Hungary","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",128.9333,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","HUN","Hungary","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",131.925,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","ESP","Spain","A","Annual","2000","2000","IDX","Index","0","Units","2015_100","2015=100",139.8694,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","ESP","Spain","A","Annual","2001","2001","IDX","Index","0","Units","2015_100","2015=100",136.4401,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","ESP","Spain","A","Annual","2002","2002","IDX","Index","0","Units","2015_100","2015=100",138.428,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","ESP","Spain","A","Annual","2003","2003","IDX","Index","0","Units","2015_100","2015=100",141.0203,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","ESP","Spain","A","Annual","2004","2004","IDX","Index","0","Units","2015_100","2015=100",143.4964,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","ESP","Spain","A","Annual","2005","2005","IDX","Index","0","Units","2015_100","2015=100",143.4034,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","ESP","Spain","A","Annual","2006","2006","IDX","Index","0","Units","2015_100","2015=100",149.1576,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","ESP","Spain","A","Annual","2007","2007","IDX","Index","0","Units","2015_100","2015=100",149.9799,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","ESP","Spain","A","Annual","2008","2008","IDX","Index","0","Units","2015_100","2015=100",133.165,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","ESP","Spain","A","Annual","2009","2009","IDX","Index","0","Units","2015_100","2015=100",105.2462,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","ESP","Spain","A","Annual","2010","2010","IDX","Index","0","Units","2015_100","2015=100",108.0604,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","ESP","Spain","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",105.0975,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","ESP","Spain","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",95.74825,,
